"ANNOUNCEMENT_NUMBER","COMPANY_ID","CREATED_ON","BALANCE_DATE","AMOUNT","SHAREHOLDER_FUNDS","INTANGIBLES","EFPO_ISSUED_SHARES","CURRENCY_ID","LAST_EOY_DATE","COY_COMPANY_NO","COA_LAST_MODIFIED","COA_RELEASE_DATETIME","COA_ANN_TYPE","INS_ISIN","INS_ISIN_SUFFIX","INS_INSTR_CODE"
223083,"ZIN000000",21/05/2012,31/03/2012,13315000,17885000,1299000,55413411,"NZD",31/03/2011,"ZIN000000",21/05/2012,21/05/2012,"FLLYR","NZZINE0001S8","  ","ZIN"
223084,"BFW000000",21/05/2012,31/03/2012,708000,4022000,147000,53676252,"NZD",31/03/2011,"BFW000000",21/05/2012,21/05/2012,"FLLYR","NZBFWE0001S6","  ","BFG"
223105,"KPF000000",21/05/2012,31/03/2012,-646000,59780000,4572000,81278908,"NZD",31/03/2011,"KPF000000",22/05/2012,22/05/2012,"FLLYR","NZKPFE0001S1","  ","AUG"
223125,"PHB000000",22/05/2012,31/03/2012,9939000,62426000,21283000,120258836,"NZD",31/03/2011,"PHB000000",22/05/2012,22/05/2012,"FLLYR","NZBDOE0001S8","  ","GXH"
223154,"DNZ000000",22/05/2012,31/03/2012,20771000,380950000,3000000,247363090,"NZD",31/03/2011,"DNZ000000",23/05/2012,23/05/2012,"FLLYR","NZDNZE0001S9","  ","STR"
223157,"CVT000000",22/05/2012,31/03/2012,8224000,75573000,41497000,28446871,"NZD",31/03/2011,"CVT000000",23/05/2012,23/05/2012,"FLLYR","NZCVTE0001S7","  ","CVT"
223191,"FPA000000",24/05/2012,31/03/2012,18431000,605181000,196709000,724235162,"NZD",31/03/2011,"FPA000000",24/05/2012,24/05/2012,"FLLYR","NZFPAE0001S2","  ","FPA"
220471,"HRP000000",07/03/2012,31/12/2011,-82591000,269417000,0,160888407,"GBP",31/12/2010,"HRP000000",08/03/2012,08/03/2012,"FLLYR","GB0008710799","  ","ATR"
222508,"WBC000000",02/05/2012,31/03/2012,2967000000,42898000000,12124000000,3054149200,"AUD",30/09/2011,"WBC000000",03/05/2012,03/05/2012,"HALFYR","AU000000WBC1","  ","WBC"
221239,"HLG000000",27/03/2012,01/02/2012,9028000,62637000,474000,59649061,"NZD",01/08/2011,"HLG000000",28/03/2012,28/03/2012,"HALFYR","NZHLGE0001S4","  ","HLG"
227120,"SGL000000",10/09/2012,30/06/2012,-751000,882000,17000,11334576,"NZD",30/06/2011,"SGL000000",10/09/2012,10/09/2012,"FLLYR","NZSGLE0001S1","  ","SGL16"
223200,"ING000000",23/05/2012,31/03/2012,1949000,488446000,0,558517286,"NZD",31/03/2011,"ING000000",24/05/2012,24/05/2012,"FLLYR","NZARGE0010S7","  ","ARG"
223201,"NAP000000",24/05/2012,31/03/2012,-2288000,87162000,0,161920433,"NZD",31/03/2011,"NAP000000",24/05/2012,24/05/2012,"FLLYR","NZNAPE0007S3","  ","APL"
227187,"RIS000000",11/09/2012,30/06/2012,-762000,222000,1227000,745125328,"AUD",30/06/2011,"RIS000000",12/09/2012,12/09/2012,"FLLYR","NZHSIE0001S5","  ","CGL"
227203,"WEL000000",12/09/2012,30/06/2012,-1531000,2400000,0,30945358,"NZD",30/06/2011,"WEL000000",12/09/2012,12/09/2012,"FLLYR","NZWELE0002S6","  ","WEL14"
191917,"ALF000000",01/03/2010,31/12/2009,-15677000,157875000,26151000,1952294854,"NZD",30/06/2009,"ALF000000",01/03/2010,01/03/2010,"HALFYR","NZALFE0001S1","  ","ALF"
216434,"DNZ000000",17/11/2011,30/09/2011,8162000,378857000,3000000,247576090,"NZD",31/03/2011,"DNZ000000",17/11/2011,17/11/2011,"HALFYR","NZDNZE0001S9","  ","STR"
216441,"MAD000000",16/11/2011,30/09/2011,-333141,3565884,1380038,32677690,"NZD",31/03/2011,"MAD000000",17/11/2011,17/11/2011,"HALFYR","NZMADE0001S4","  ","PYS"
216554,"CYT000000",18/11/2011,30/09/2011,-522000,1136000,0,122885996,"NZD",31/03/2011,"CYT000000",18/11/2011,18/11/2011,"HALFYR","NZROCE0001S6","  ","CYT"
192179,"FCT000000",08/03/2010,31/12/2009,341124000,1958469000,0,632089064,"GBP",31/12/2009,"FCT000000",08/03/2010,08/03/2010,"FLLYR","GB0003466074","  ","FCT"
169408,"CAV000000",29/08/2008,30/06/2008,17937000,85104000,11137000,67082444,"NZD",30/06/2008,"CAV000000",29/08/2008,29/08/2008,"FLLYR","NZCAVE0001S7","  ","CAV"
169415,"CMO000000",29/08/2008,30/06/2008,7217000,124559000,2415000,27850910,"NZD",30/06/2008,"CMO000000",29/08/2008,29/08/2008,"FLLYR","NZCMOE0001S7","  ","CMO"
169691,"SKL000000",04/09/2008,30/06/2008,14697000,71798000,53471000,132084729,"NZD",30/06/2008,"SKL000000",04/09/2008,04/09/2008,"FLLYR","NZSKXE0001S8","  ","SKL"
226165,"NZX000000",19/08/2012,30/06/2012,3249000,50048000,46126000,253756483,"NZD",31/12/2011,"NZX000000",20/08/2012,20/08/2012,"HALFYR","NZNZXE0001S7","  ","NZX"
226169,"CAV000000",19/08/2012,30/06/2012,-1633000,90855000,7502000,68263857,"NZD",30/06/2011,"CAV000000",20/08/2012,20/08/2012,"FLLYR","NZCAVE0001S7","  ","CAV"
227221,"SDL000000",12/09/2012,30/06/2012,-629000,1234000,1442000,13007180,"NZD",30/06/2011,"SDL000000",12/09/2012,12/09/2012,"FLLYR","NZSDLE0001S8","  ","SDL"
