Ticker,Date,Trade Date,Next250dayReturn,Next250dayReturn^NZ50,BeatIndex,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Cash Flows from Used in Operating Activities Direct,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow,Repurchase of Capital Stock,Preferred Stock Equity,Capital Lease Obligations,Operating Cash Flow,Other Non Operating Income Expenses,Credit Losses Provision,Non Interest Expense,Special Income Charges,Diluted NI Available to Com Stockholders,Total Expenses,Prev250dayReturn^GSPC,Prev250dayReturn^DJI,Prev250dayReturn^VIX
GNE.NZ,30/06/2017,30/06/2017,0.08214484599448668,0.17005324979508574,False,1841810,1255714,586095,447048,139048,-57619,78095,159524,46476,113048,0,0,999500,999500,113048,114667,1524,59143,-57619,1255714,166286,113048,-2286,-2286,387238,0,-665.9275,4017905,2130381,1887524,3076857,1887524,1533333,137048,3087333,1533333,1199810,1173333,999500,999500,236667,-390095,146667,26476,48571,0,-52190,0,477143,-119048,184476,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
GSH.NZ,30/06/2017,30/06/2017,-0.3181817873942949,0.17005324979508574,False,28478,5805,22673,17429,5243,-1723,2146,5666,1604,-792.999,0,0,43307,43307,-792.999,4186,17.465,1741,-1723,5805,612.304,4062,-172.761,-172.761,8191,0,-48.905,39588,32368,7219,8129,7219,-23409,-27135,35686,-23409,28467,27643,43307,43307,4107,-202.943,-4999,598.494,-201.354,1739,-490.499,0,0,-4849,3616,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
HGH.NZ,30/06/2017,30/06/2017,0.0,0.17005324979508574,False,173995,0,0,0,0,0,0,84553,23745,60808,0,0,493177,493177,60808,60808,0,0,0,0,7077,60808,0,0,0,0,0,4034671,3465076,569595,594153,569595,498358,0,808518,498358,238923,181883,513937,513937,-94503,-94298,161687,57040,21695,125022,-15180,39348,0,0,-109683,0,0,0,0,2452,-15015,76879,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
JLG.NZ,30/06/2017,30/06/2017,0.5123707087651919,0.17005324979508574,True,16446,1343,15103,8607,6496,-80,-3662,2754,707,2047,0,0,88574,88574,2047,2114,0,80,-80,1343,1956,2047,-90,-90,4880,0,-23.1046,17654,3553,14101,14101,14101,8831,-1195,14559,8831,902,456,85940,85940,2669,-1850,-811,-56,950,80,-1868,0,1950,-1723,801,0,0,444,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
MCY.NZ,30/06/2017,30/06/2017,0.039702490038421745,0.17005324979508574,False,1552000,836000,716000,427000,289000,-95000,64000,258000,74000,184000,0,0,1376302,1376302,184000,196837,2000,97000,-95000,836000,189000,184000,-18000,-18000,562000,0,-5163,5997000,2689000,3308000,4332000,3308000,3255000,-31000,4415000,3255000,1107000,1077000,1400013,1400013,372000,-90000,-298000,30000,52000,95000,-123000,0,75000,-120000,249000,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
MEE.NZ,30/06/2017,30/06/2017,-0.4736842053666338,0.17005324979508574,False,125.5801,0,0,0,0,0,0,-450.4505,0,-1622,0,0,82900,82900,-1622,-450.4505,0,0,0,0,515.9705,-450.4505,0,0,0,0,0,3833,439.5304,3393,0,3393,3393,3393,0,3393,0,0,414550,414550,-576.0306,165.1652,0,2677,4.095,0,-9.555,0,0,0,-585.5856,0,0,0,-576.0306,515.9705,0,576.0306,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
MEL.NZ,30/06/2017,30/06/2017,0.08125229466736372,0.17005324979508574,False,2199048,0,2199048,1838095,360952,-67619,-23810,263810,76190,187619,0,0,2563000,2563000,187619,197102,1905,69524,-67619,0,251429,187619,-13333,-13333,598095,0,-3851,8252381,3412381,4840000,5813333,4840000,4784762,-140952,5975238,4784762,1180000,1059048,2561942,2561942,447619,-49524,-434286,76190,105714,71429,-51429,0,150476,-129524,396190,0,0,44762,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
MET.NZ,30/06/2017,30/06/2017,0.19855449384117785,0.17005324979508574,True,107737,0,107737,108663,-926,18,262430,261522,9979,251543,0.0012,0.0012,212975,212975,251543,251543,244,226,18,0,9182,251543,0,0,270930,0,0,2960592,1590404,1370188,1442718,1370188,1368735,-38194,1442718,1368735,72632,69597,212686,212686,133816,-116291,-21150,2933,0,260,-16748,0,0,-7842,117068,0,0,102,133816,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
MGL.NZ,30/06/2017,30/06/2017,-0.2941176702613234,0.17005324979508574,False,26622,14835,11787,14110,-2323,-723,-1267,-4654,2308,-6962,0,0,40283,40283,-6962,-5759,0,723,-723,14835,459,-6962,-1671,-1671,-1801,0,-467.88,23942,14432,9510,15883,9510,4825,1237,18256,4825,8746,7919,57595,57595,-4706,29,4932,-237,0,723,-201,3869,1135,0,-4907,-72,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
MMH.NZ,30/06/2017,30/06/2017,0.24930737000200254,0.17005324979508574,True,3911,959.712,2952,2753,198.753,-184.807,10055,10069,18.568,10050,0,0,41301,41301,10050,10050,10.105,194.912,-184.807,959.712,137.453,10050,0.392,0.392,10401,0,0,142113,11670,130443,140293,130443,130443,4063,140293,130443,9850,9715,41301,41301,9541,-9419,-127.091,134.694,14.181,194.912,-7530,0,5655,0,2011,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
