Ticker,Date,Trade Date,Next250dayReturn,Next250dayReturn^NZ50,BeatIndex,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Cash Flows from Used in Operating Activities Direct,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow,Repurchase of Capital Stock,Preferred Stock Equity,Capital Lease Obligations,Operating Cash Flow,Other Non Operating Income Expenses,Credit Losses Provision,Non Interest Expense,Special Income Charges,Diluted NI Available to Com Stockholders,Total Expenses,Prev250dayReturn^GSPC,Prev250dayReturn^DJI,Prev250dayReturn^VIX
ALF.NZ,30/06/2019,28/06/2019,-0.07207951269867263,0.0431145324624671,False,8188,6719,1469,11803,-10334,482,12229,2221,220,1258,0,0,0,0,1258,1258,925,443,482,6719,635,1258,0,0,3299,0,0,24039,18271,5768,6969,4409,3645,3272,8884,3645,5293,2174,17855,17855,3072,-466,-874,2301,379,599,-346,1500,1500,-2697,2726,-261,0,818,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
ATM.NZ,30/06/2019,28/06/2019,0.29175191986275406,0.0431145324624671,True,1246737,564504,682233,287229,395004,3975,-1626,397353,122319,275034,0,0,733145,741933,275034,276397,4088,112.7891,3975,564504,2080,275034,-1968,-1968,401514,0,-605.8405,949599,196536,753063,753063,753063,740651,449541,753063,740651,0,0,735048,735048,276303,-158380,2800,444279,127988,0,-3214,2800,0,0,273089,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
CAV.NZ,30/06/2019,28/06/2019,-0.21874998253770128,0.0431145324624671,False,134463,102378,32085,29320,2765,-1790,-18899,-17924,-1144,-16780,0,0,68679,68679,-16780,-8864,2,1792,-1790,102378,0,-16780,-8456,-8456,-7676,0,-539.7045,99334,44345,54989,75489,54989,54989,41487,75489,54989,20500,17776,68679,68679,2906,8781,-11000,2724,285,1918,0,0,0,-11000,2906,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
CEN.NZ,30/06/2019,28/06/2019,-0.16149722027344793,0.0431145324624671,False,2337029,1601988,735041,462627,272414,-66909,22940,228446,65953,329765,0,0,716623,716623,329765,162493,3823,70732,-66909,1601988,195947,162493,0,0,495125,0,0,4735232,2076085,2659147,3585357,2659147,2252915,-91761,3706748,2252915,1047601,1002676,716775,716775,445422,308736,-712101,44924,44924,0,0,0,95584,-501816,445422,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
CMO.NZ,30/06/2019,28/06/2019,-0.20262714975273222,0.0431145324624671,False,906924,757262,149662,113055,36607,-4985,1771,33393,9819,21901,0,0,0,0,21901,21901,7,4992,-4985,757262,4371,21901,0,0,42756,0,0,387696,175402,212294,209155,209155,208127,63688,303624,208127,94469,87287,32695,32695,36582,-15905,-23746,7182,13044,4992,-16319,0,-8469,0,20263,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
CNU.NZ,30/06/2019,28/06/2019,0.3659578256387792,0.0431145324624671,True,890000,0,890000,727000,163000,-165000,6000,78000,25000,53000,0,0,435000,530000,53000,53000,10000,175000,-165000,0,393000,53000,0,0,646000,0,0,5618000,4639000,979000,2720000,979000,842000,-650000,3211000,842000,2486000,1959000,439000,439000,496000,-810000,537000,273000,3000,129000,-806000,0,500000,-60000,-310000,0,0,254000,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
CVT.NZ,30/06/2019,28/06/2019,-0.13731337696227397,0.0431145324624671,False,169303,107995,61308,72759,-11451,-6145,-13529,-31125,-3408,-27717,0,0,49614,49614,-27717,-7842,522,6667,-6145,107995,1960,-27717,-22319,-22319,-179,0,-2444,310638,137283,173355,272605,173355,134678,155161,272605,134678,99250,88936,53100,53100,21086,-17704,2239,10314,1504,4782,-16670,607,2550,0,4416,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
DGL.NZ,30/06/2019,28/06/2019,-0.06295726652567302,0.0431145324624671,False,277780,143102,134678,55427,79251,-12011,-1282,65958,18598,47360,0,0,101130,101130,47360,47360,14,12025,-12011,143102,0,47360,0,0,77983,0,0,734131,359647,374484,650473,374484,369534,162858,650473,369534,275989,270342,101130,101130,55421,-32552,-21476,5647,17114,12140,-30883,0,295642,-301949,24538,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
EBO.NZ,30/06/2019,28/06/2019,-0.009513860258705154,0.0431145324624671,False,7250847,6404583,846265,607577,238688,-26506,-10242,201941,58891,144068,0,0,153320,153320,144068,145973,2016,28522,-26506,6404583,33544,144068,-2689,-2689,266695,0,-784.135,3350295,2053727,1296568,1680654,1299781,130911,290018,1856744,130911,556963,382638,160483,160483,124025,-125605,17122,174325,57827,28522,-29782,175952,24144,-78421,94243,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
FBU.NZ,30/06/2019,28/06/2019,-0.18604250474168327,0.0431145324624671,False,8308000,6025000,2283000,1758000,525000,-106000,-80000,339000,80000,164000,0,0,853000,950725,164000,317817,4000,110000,-106000,6025000,0,246000,-94000,-94000,543000,0,-22183,7710000,3537000,4173000,5236000,4141000,3012000,1791000,5838000,3012000,1697000,325000,850773,850773,153000,914000,-355000,1372000,28000,128000,-348000,0,100000,-199000,-195000,-181000,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
FRE.NZ,30/06/2019,28/06/2019,-0.08318514082615913,0.0431145324624671,False,615692,0,615692,522236,93456,-9566,3606,87496,24119,63367,0,0,155311,155693,63367,63367,0,9566,-9566,0,17509,63367,0,0,114571,0,0,584646,310636,274010,441280,273886,-91266,15873,441280,-91266,167650,151408,155378,155378,76007,-29926,-36833,15986,23292,9379,-23273,748,0,9512,52734,0,0,256,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
GEO.NZ,30/06/2019,28/06/2019,-0.23529415373983642,0.0431145324624671,False,4975,0,4975,7899,-2924,39,-2610,-5495,0,-5495,0,0,78725,78725,-5495,-2304,39,0,39,0,936,-5495,-3191,-3191,1203,0,0,3923,1497,2426,2426,2426,737,654,2426,737,0,0,81008,81008,-948,-1005,982,1024,0,0,-1172,1634,0,-551,-2120,-101,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
GNE.NZ,30/06/2019,28/06/2019,-0.050250854548047896,0.0431145324624671,False,2564328,1891034,673294,530874,142420,-70063,7073,79430,22845,56586,0,0,1014200,1014200,56586,61352,573.5041,70637,-70063,1891034,187823,56586,-6691,-6691,344580,0,-1924,4427930,2372109,2055821,3123495,2055821,1707895,-17301,3288664,1707895,1232843,1173676,1022400,1022400,288090,-88606,-187440,59167,50755,0,-88415,0,229402,-222328,199675,-1243,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
GSH.NZ,30/06/2019,28/06/2019,0.019047658243418475,0.0431145324624671,False,25429,6038,19391,14654,4737,-3105,-702.203,929.986,394.674,512.201,0,0,43307,53916,512.201,855.3383,5.274,3110,-3105,6038,538.965,535.312,-444.481,-444.481,5023,0,-124.4547,40691,27681,13010,36001,13010,-20739,-1776,36792,-20739,23783,22481,43307,43307,2197,-4911,2842,1302,0,2126,-878.405,0,4700,-1857,1318,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
HGH.NZ,30/06/2019,28/06/2019,-0.19147468184502203,0.0431145324624671,False,201535,0,0,0,0,0,0,101513,27896,73617,0,0,0,0,73617,73617,0,0,0,0,9123,73617,0,0,0,0,0,4926404,4250736,675668,0,675668,602989,0,1732321,602989,1056653,976069,569338,569338,-49912,-15981,96889,80584,25895,135404,-4513,0,125000,-22846,-54425,0,0,0,0,9670,-20676,89016,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
JLG.NZ,30/06/2019,28/06/2019,0.364962533686777,0.0431145324624671,True,33502,7416,26086,22893,3193,-548,-10,2635,723,1912,0,0,0,0,1912,1912,0,548,-548,7416,2921,1912,0,0,3183,0,0,31096,15277,15819,25644,15819,3096,777,26071,3096,10252,10250,86757,86757,4734,-2164,-1926,-313,1177,548,-1949,0,944,-980,2785,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
MCY.NZ,30/06/2019,28/06/2019,0.04287255401523238,0.0431145324624671,False,1957000,1263000,694000,436000,258000,-73000,247000,430000,73000,357000,0,0,1360894,1360894,357000,357000,1000,74000,-73000,1263000,204000,357000,0,0,708000,0,0,6484000,2947000,3537000,4229000,3537000,3452000,-395000,4770000,3452000,1233000,1139000,1361013,1361013,326000,98000,-335000,94000,79000,70000,-122000,0,30000,-166000,204000,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
MEE.NZ,30/06/2019,28/06/2019,108.99999417923418,0.0431145324624671,True,-63,0,0,0,0,0,0,-627,0,-1311,0,0,0,0,-1311,-627,0,0,0,0,0,-627,0,0,0,0,0,2155,125,2030,0,2030,2030,0,0,2030,0,0,414550,414550,-487,0,0,1874,-36,0,0,0,0,0,-487,0,0,0,0,0,0,564,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
MEL.NZ,30/06/2019,28/06/2019,0.04264623592253658,0.0431145324624671,False,3320589,0,3320589,2799656,520933,-75511,9558,451157,127127,324030,0,0,2563000,2563000,324030,327462,955.8402,76467,-75511,0,263812,324030,-4779,-4779,796215,0,-1347,9230549,4014529,5216020,6461480,5216020,5159625,-74556,6621105,5159625,1435672,1330530,2562318,2562318,606959,-65953,-521889,74556,118524,73600,-65953,0,419614,-462627,541006,0,0,30587,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
MET.NZ,30/06/2019,28/06/2019,0.10650835583555218,0.0431145324624671,True,124280,0,124280,120479,3801,-1626,43993,46168,6935,39233,0,0,212760,212760,39233,53270,248,1874,-1626,0,5804,39233,-16518,-16518,70364,0,-2481,3515704,2030729,1484975,1762141,1484975,1483975,-15927,1762141,1483975,279208,273735,212782,212782,119903,-232967,100197,3431,0,1955,-17279,0,123135,0,102624,0,0,2042,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
MMH.NZ,30/06/2019,28/06/2019,0.28342646282336736,0.0431145324624671,True,5657,1443,4214,3790,424.409,-155.283,9441,9711,19.413,9691,0,0,41301,41301,9691,9694,131.011,286.294,-155.283,1443,409.449,9691,-3.211,-3.211,10410,0,-0.0064,153166,14595,138570,150720,138570,138570,-661.015,150720,138570,12150,11844,41301,41301,10042,-9376,-404.853,306.322,19.413,286.294,-1932,0,6100,0,8110,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
NWF.NZ,30/06/2019,28/06/2019,0.22958987431157563,0.0431145324624671,True,12184,0,12184,6691,5493,-650,-4125,718,91,627,0,0,285000,298571,627,1099,34,684,-650,0,2665,627,-540,-540,4607,0,-68.4401,55054,11732,43322,53193,43322,39647,3705,54139,39647,10817,7969,288064,288064,3383,-833,-2039,2848,0,536,-833,0,0,-946,2550,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
NZK.NZ,30/06/2019,28/06/2019,0.0071230665590586995,0.0431145324624671,False,172609,112145,60464,44492,15972,-1092,857,15737,4387,11350,0,0,138548,138548,11350,11343,96,1188,-1092,112145,6234,11350,10,10,23149,0,2.7877,222060,53308,168752,183752,168752,121976,86920,184168,121976,15416,9185,138571,138571,10842,-16890,-2149,6231,5361,850,-16900,16,5000,0,-6058,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
NZO.NZ,30/06/2019,28/06/2019,0.10891090628096056,0.0431145324624671,True,43323,529,43852,46106,-2254,1945,1094,785,3674,-7480,0,0,0,0,-7480,-7480,2175,230,1945,529,361,-7480,0,0,1376,0,0,178760,32427,146333,135297,135297,135250,105888,135297,135250,0,0,164431,164431,21305,-13942,-11,105586,4131,0,-13942,6,0,0,7363,-17,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
PCT.NZ,30/06/2019,28/06/2019,-0.03722443432158007,0.0431145324624671,False,109700,13000,96700,43900,52800,-1800,149300,200300,10400,189900,0,0,1246700,1246700,189900,189900,700,2500,-1800,13000,400,189900,0,0,203200,0,0,2893400,938500,1954900,2713300,1954900,1933800,-51300,2713300,1933800,758400,751500,1313700,1313700,64100,-93500,33400,6900,6400,1200,-300,149300,233700,-124500,63800,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
PGW.NZ,30/06/2019,28/06/2019,-9.486624782802803,0.0431145324624671,False,807693,589558,218135,204860,13275,-4505,-5140,3630,-370,131123,0.0017,0.0017,75484,75484,131123,5593,2333,6838,-4505,589558,9544,3317,-3161,-3161,23173,0,-885.08,565554,167290,398264,398264,398264,383620,335578,400944,383620,2680,0,75484,75484,-49001,379280,-130714,210491,14954,8322,-16505,0,0,-114252,-65506,-6,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
POT.NZ,30/06/2019,28/06/2019,0.15486086519568665,0.0431145324624671,True,310443,74527,235916,93151,142765,-18177,10421,135009,34432,100577,0,0,671642,679574,100577,100949,417,18594,-18177,74527,27585,100577,-499,-499,181687,0,-127.2624,1748861,582976,1165885,1290098,1165885,1146857,-303817,1612098,1146857,446213,442310,679921,679921,112189,-31546,-82576,3903,34680,18270,-42183,0,44250,-3000,70006,-1386,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
SDL.NZ,30/06/2019,28/06/2019,0.2975899479647457,0.0431145324624671,True,24879,0,24879,24671,208,4,580,792,122,670,0,0,14600,14889,670,670,4,0,4,0,585,670,0,0,793,0,0,7665,3731,3934,3934,3934,2013,1238,3934,2013,0,0,14640,14640,356,-386,-744,1182,0,0,-386,56,0,0,-30,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
SKC.NZ,30/06/2019,28/06/2019,-0.25569728814627235,0.0431145324624671,False,766837,57219,709619,517533,192086,-10090,16416,198411,44688,138196,0,0,675773,675773,138196,140053,691.0725,10781,-10090,57219,76456,153723,17638,17638,268010,0,3969,2439256,1334332,1104924,1578938,1104924,341774,-75175,1625896,341774,520971,481233,667160,667160,241181,-111339,-162705,39738,48390,0,-318084,0,26764,0,-76903,-35249,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
SKL.NZ,30/06/2019,28/06/2019,-0.09672251304368296,0.0431145324624671,False,245792,152917,92875,51458,41417,-1771,390,40036,10973,29063,0,0,0,0,29063,29063,14,1785,-1771,152917,0,29063,0,0,41821,0,0,257059,78667,178392,224607,178392,127859,81599,224607,127859,46215,36576,194753,194753,28920,-12746,-16099,9639,9695,1785,0,2422,0,5823,28920,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
SKT.NZ,30/06/2019,28/06/2019,-0.8635593172823068,0.0431145324624671,False,760013,312045,447969,316795,131174,-11643,-676896,-557615,23380,-581302,0,0,734519,734519,-581302,-93936,262.8561,11906,-11643,312045,88830,-581302,-676896,-676896,220017,0,-189531,737290,401247,336043,516540,334773,-91356,-43196,517585,-91356,185110,178718,743243,743243,170164,-66699,-103859,4094,32976,13425,-72971,0,245651,-288370,97194,0,0,2298,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
SPK.NZ,30/06/2019,28/06/2019,0.11719820137946013,0.0431145324624671,True,3518000,61000,3457000,2775000,682000,-14000,-57000,579000,170000,409000,0,0,1836000,1836000,409000,411119,37000,51000,-14000,61000,477000,409000,-3000,-3000,1110000,0,-880.829,4095000,2630000,1465000,2427000,1465000,478000,-33000,2860000,478000,1885000,1341000,1836192,1836192,777000,-426000,-352000,54000,135000,45000,-415000,0,154000,0,362000,0,0,490000,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
SPN.NZ,30/06/2019,28/06/2019,0.05154510359433129,0.0431145324624671,True,43950,0,43950,29360,14590,-721,-159,13710,3923,9787,0,0,26235,26235,9787,9787,25,746,-721,0,3610,9787,0,0,18066,0,0,56699,13673,43026,50026,43026,43026,1052,50026,43026,7000,5574,26235,26235,13554,-6098,-7021,1426,4123,488,-6146,0,0,-200,7408,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
STU.NZ,30/06/2019,28/06/2019,-0.3101006963401496,0.0431145324624671,False,499082,387140,111942,95599,16343,-2828,452,13967,3552,10415,0,0,153176,153176,10415,10415,109,2937,-2828,387140,7290,10415,0,0,16904,0,0,326163,72262,253901,277901,253901,196979,168264,277901,196979,24000,14990,165973,165973,21304,-4890,-12988,9010,-5614,3434,0,78824,0,-85935,21304,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
THL.NZ,30/06/2019,28/06/2019,-0.3404254072060312,0.0431145324624671,False,423004,114373,308631,246629,62002,-11197,-10907,39893,10140,29753,0,0,127079,128992,29753,29753,87,11284,-11197,114373,0,29753,0,0,51177,0,0,602473,325456,277017,487996,277017,232837,8773,487996,232837,211026,202142,133377,133377,10201,-14621,-308,8837,8361,11134,-4291,30798,0,-1677,5910,0,0,47,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
TLL.NZ,30/06/2019,28/06/2019,-0.5051606404418928,0.0431145324624671,False,355139,0,355139,346210,8929,-4040,2501,7390,3026,4004,0,0,84329,84329,4004,4004,116,4156,-4040,0,13610,4004,0,0,25156,0,0,176382,142060,34322,112217,33085,9176,409,117402,9176,84317,77928,86348,86348,19382,-25099,9225,6389,2286,3885,-23623,0,16000,-5834,-4241,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
VCT.NZ,30/06/2019,28/06/2019,0.025398542273859848,0.0431145324624671,False,1230100,512100,718000,488200,229800,-131300,40000,136500,52500,82900,0,0,999890,999890,82900,111577,1100,132400,-131300,512100,246800,82900,-46600,-46600,562300,0,-17923,6061000,3711600,2349400,4612100,2332400,977500,-464500,5093400,977500,2800900,2733400,999868,999868,348100,-427400,79000,27600,61600,142600,-418400,0,535000,-285600,-70300,0,0,39900,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
VHP.NZ,30/06/2019,28/06/2019,0.08345904582789876,0.0431145324624671,True,111373,39606,71767,3002,68765,-29870,68138,107033,13611,93422,0,0,0,0,93422,93422,2795,32665,-29870,39606,0,93422,0,0,139698,0,0,1931543,901798,1029745,1763956,1029745,1029745,67036,1763956,1029745,734211,728143,446346,446346,40614,-101831,61897,6068,5717,32041,0,0,118401,-23517,40614,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
VTL.NZ,30/06/2019,28/06/2019,-0.11833853262422489,0.0431145324624671,False,33802,0,33802,28753,5049,-1164,1647,5532,1478,4054,0,0,36130,36130,4054,4054,84,1248,-1164,0,4421,4054,0,0,11201,0,0,67486,25391,42095,54595,42095,25057,-1158,54595,25057,12500,11090,41381,41381,7102,-8640,-1321,1410,2090,1133,-9117,8179,0,-9500,-2015,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
BGP.NZ,31/01/2017,31/01/2017,-0.10478310550582193,0.1757557651225048,False,582840,343483,239357,166987,72370,-132,7457,79695,20275,59420,0,0,218456,224226,59420,59420,237,369,-132,343483,0,59420,0,0,80064,0,0,0,0,0,0,0,-960,0,0,-960,0,0,219517,219517,85984,-10961,-32338,60066,21473,361,-18276,3713,0,0,67708,0,0,0,0,0,0,0,0,0,0,0.2459106063919736,0.2684458441818247,-0.5739161325096263
BGP.NZ,31/01/2018,31/01/2018,-0.0034743928474539887,0.08369577464267364,False,603086,358914,244172,167068,77104,431,6260,83795,22470,61325,0,0,220594,224634,61325,61325,567,136,431,358914,0,61325,0,0,83931,0,0,338571,90143,248428,248428,248428,247064,66054,248428,247064,0,0,220795,220795,69528,-13998,-37428,78193,21704,129,-14004,3282,0,0,55524,0,0,0,0,0,0,0,0,0,0,0.21920898904640218,0.29009395623418466,0.24792621989004182
BGP.NZ,31/01/2019,31/01/2019,0.3649698377385402,0.3097467358940149,True,631919,378564,253355,174354,79001,612,6994,86607,23214,63393,0,0,220882,220882,63393,63393,754,142,612,378564,0,63393,0,0,86749,0,0,365352,91811,273541,273541,273541,271021,74377,273541,271021,0,0,221600,221600,65720,-22254,-40912,80777,24249,142,-21591,2178,0,0,44129,0,0,0,0,0,0,0,0,0,0,0.018109976527202587,0.016194302091561807,-0.3529871417446736
BGP.NZ,31/01/2020,31/01/2020,0.0,0.0,False,653017,395515,257502,169940,87562,-12911,9661,84312,21729,62583,0,0,0,0,62583,62583,724,13635,-12911,395515,0,62583,0,0,97947,0,0,696548,384429,312119,312119,312119,308655,59125,312119,308655,296408,0,222189,222189,79508,-32769,-60138,67414,24085,13631,-19178,1620,0,0,60330,0,0,296408,0,0,0,0,0,0,0,0.17162544004470925,0.10620252674804109,0.20383390490824804
CBD.NZ,31/12/2019,31/12/2019,0.0,0.0,False,53.391,0,53.391,2241,-2188,43.447,-37.034,-2182,0,-2182,0,0,0,0,-2182,-2182,71.683,28.236,43.447,0,164.135,-2182,0,0,-1989,0,0,11984,386.858,11597,11597,11597,11590,8502,11597,11590,178.407,0,105468,105468,-1994,-2586,9922,8480,16.03,28.236,-2586,11000,0,0,-4579,-841.684,0,178.407,0,0,0,0,0,0,0,0.2509747483804454,0.19358555471817218,-0.2773990585479026
CDI.NZ,31/12/2019,31/12/2019,0.0,0.0,False,91610,41245,50365,4148,46217,1025,184,47426,13286,34140,0,0,0,0,34140,34140,1029,4,1025,41245,15,34140,0,0,47445,0,0,240700,5190,235510,235510,235510,235510,90411,235510,235510,24,0,278806,278806,17710,18994,-9549,34435,13646,0,-6,0,0,-16,17704,0,0,24,0,0,0,0,0,0,0,0.2509747483804454,0.19358555471817218,-0.2773990585479026
MCK.NZ,31/12/2019,31/12/2019,0.0,0.0,False,229669,97628,132041,47778,84263,1151,-12,85402,23134,49662,0,0,0,0,49662,49681,3886,2735,1151,97628,9720,49662,-26,-26,97883,0,-7.043,1008201,201201,807000,782253,682035,715253,205008,749035,682035,81799,23818,105479,105479,63536,-20564,-14553,43182,24040,1569,-6917,0,0,1615,56619,0,33218,14799,0,0,0,0,0,0,0,0.2509747483804454,0.19358555471817218,-0.2773990585479026
NZM.NZ,31/12/2019,31/12/2019,0.0,0.0,False,361073,0,361073,337650,23423,-9408,-173613,-159598,5574,-164665,0,0,0,0,-164665,-33696,87,9495,-9408,0,31672,-164665,-181901,-181901,63470,0,-50932,353844,237374,116470,205189,116040,-34223,5995,205189,-34223,185032,74733,196556,196556,46971,-11724,-32548,14416,4540,4752,-11840,0,45500,-66500,35131,0,0,95883,0,0,0,0,0,0,0,0.2509747483804454,0.19358555471817218,-0.2773990585479026
NZR.NZ,31/12/2019,31/12/2019,0.0,0.0,False,334309,129422,204887,200040,4847,-13103,13457,4859,694,4165,0,0,0,0,4165,4536,44,13147,-13103,129422,99498,4165,-433,-433,117937,0,-61.8444,1381055,624311,756744,1003360,756744,734607,-19150,1003360,734607,250070,241361,312159,312159,117125,-77695,-34954,5255,4238,14418,-77695,0,0,-13200,39430,-283,0,3454,0,0,0,0,0,0,0,0.2509747483804454,0.19358555471817218,-0.2773990585479026
NZX.NZ,31/12/2019,31/12/2019,0.0,0.0,False,69073,0,69073,46779,22294,-1616,269,20533,5888,14645,0,0,0,0,14645,14644,1033,2649,-1616,0,8595,14645,2,2,31775,0,0.5735,212571,148653,63918,102770,63918,-3802,37473,102770,-3802,47463,0,275684,275684,24790,-8300,-14135,47740,6034,2091,-8302,0,0,0,16488,0,0,8611,0,0,0,0,0,0,0,0.2509747483804454,0.19358555471817218,-0.2773990585479026
PFI.NZ,31/12/2019,31/12/2019,0.0,0.0,False,95389,14836,80553,5086,75467,-19000,133910,190377,14091,176286,0,0,0,0,176286,176286,8,19008,-19000,14836,124,176286,0,0,209509,0,0,1522696,468659,1054037,1466985,1054037,1024951,-19700,1466985,1024951,413188,411763,498723,498723,48371,-25600,-23238,1185,9044,19007,-241,0,14526,-110,48130,0,0,240,0,0,0,0,0,0,0,0.2509747483804454,0.19358555471817218,-0.2773990585479026
PIL.NZ,31/12/2019,31/12/2019,0.0,0.0,False,177,53,124,1367,-1243,-51,-1107,-2401,0,-2401,0,0,0,0,-2401,-1280,0,51,-51,53,11,-2401,-1121,-1121,-1218,0,0,85,1439,-1354,-1354,-1354,-1354,-1377,-499,-1354,855,834,2151797,2151797,-868,73,304,21,0,0,0,247,57,0,-868,0,0,0,0,0,0,0,0,0,0,0.2509747483804454,0.19358555471817218,-0.2773990585479026
SCL.NZ,31/12/2019,31/12/2019,0.0,0.0,False,481509,106749,374760,337605,37155,-715,24628,57993,9418,118002,0,0,0,0,118002,45940,2834,3549,-715,106749,18070,45000,-1122,-1122,80734,0,-182.2116,558680,199677,359003,409565,355014,310423,186478,410753,310423,135879,37107,140196,140196,56099,5356,-49580,17444,8532,6624,-16808,0,79000,-92329,39291,0,0,80140,0,0,0,0,0,0,0,0.2509747483804454,0.19358555471817218,-0.2773990585479026
SEK.NZ,31/12/2019,31/12/2019,0.0,0.0,False,236868,189404,47464,33591,13873,-4930,3470,9863,2979,6884,0,0,0,0,6884,6884,214,4930,-4930,189404,16507,6884,-395,-395,14793,0,0,368246,213302,154944,252722,154944,136258,31438,274576,136258,170110,116783,32116,32116,18588,-35938,19138,2849,2288,8066,-34668,0,110729,-81774,-16080,0,0,50478,0,0,0,0,0,0,0,0.2509747483804454,0.19358555471817218,-0.2773990585479026
SUM.NZ,31/12/2019,31/12/2019,0.0,0.0,False,153729,13589,140140,116643,23497,-14746,165252,173561,-1701,175262,0,0,0,0,175262,175262,217,14963,-14746,13589,7833,175262,0,0,196357,0,0,3337882,2205998,1131884,1739425,1131884,1125761,-187590,1739425,1125761,607541,586079,224250,224250,237896,-327410,103494,21462,0,0,-19298,2215,135636,-1264,218598,0,0,0,0,0,0,0,0,0,0,0.2509747483804454,0.19358555471817218,-0.2773990585479026
VGL.NZ,31/12/2019,31/12/2019,0.0,0.0,False,144500,0,144500,123100,21400,-1100,-1900,18400,5600,10800,0,0,174210,175618,10800,10800,600,1700,-1100,0,0,10800,0,0,20100,0,0,243600,80100,163500,163900,152300,55000,33200,164100,55000,35300,0,174525,174525,15500,-18700,-11700,19500,9100,1000,-16700,0,0,0,-1200,0,0,23500,0,0,0,0,0,0,0,0.2509747483804454,0.19358555471817218,-0.2773990585479026
